time_s,pitch_deg,pitch_rate_rad_s,elevator_cmd,altitude_ft
0.28,-5.473751340875366,-0.7190270506250815,1.0,5000.073163490742
0.29,-5.885703093008431,-0.7225796257973571,1.0,5000.053756777197
0.3,-6.299689744818036,-0.7239612125912123,1.0,5000.029916934669
0.31,-6.714467515940732,-0.7231323285260797,1.0,5000.001673523337
0.32,-7.128770001791852,-0.7199694071520008,1.0,4999.96927042678
0.33,-7.541260000948201,-0.7146117829105738,1.0,4999.932518094778
0.34,-7.950680140820651,-0.7072029545458023,1.0,4999.891466535628
0.35000000000000003,-8.355855262557991,-0.6978874622196046,1.0,4999.846122797579
0.36,-8.755693016929206,-0.68681026319978,1.0,4999.796496074647
0.37,-9.149184102711155,-0.674116149852626,1.0,4999.742597017437
0.38,-9.53540217179917,-0.6599491929595552,1.0,4999.684437632561
0.39,-9.913503415529407,-0.6444522104034498,1.0,4999.622031126171
0.4,-10.28272584672815,-0.6277662615260061,1.0,4999.555391836911
0.41000000000000003,-10.642388292175566,-0.6100301675915442,1.0,4999.4845350869
0.42,-10.991889110421976,-0.5913800588933082,1.0,4999.409477040172
0.43,-11.330704650202511,-0.5719489491056364,1.0,4999.330234661698
0.44,-11.658387465043146,-0.551866337520013,1.0,4999.246825531125
0.45,-11.97456430001807,-0.5312578398060306,1.0,4999.159267794341
0.46,-12.278933866987261,-0.5102448479121187,1.0,4999.067580021918
0.47000000000000003,-12.571264424996727,-0.48894421966729745,1.0,4998.9717811234295
0.48,-12.85139118284788,-0.4674679985675541,1.0,4998.871890246868
0.49,-13.119213541120283,-0.44592316413136857,1.0,4998.7679266780615
0.5,-13.37469219115468,-0.4244114130918999,1.0,4998.659909792244
0.51,-13.617846088657576,-0.40302897156166434,1.0,4998.547858901322
0.52,-13.848749319668157,-0.38186643816238447,1.0,4998.431793238968
0.53,-14.067527876624935,-0.36100865796174536,1.0,4998.3117318451405
0.54,-14.274356362180583,-0.34053462690263503,1.0,4998.187693510205
0.55,-14.469454638233671,-0.3205174262526773,1.0,4998.0596967116
0.56,-14.653084437376641,-0.3010241864448478,1.0,4997.927759561688
0.5700000000000001,-14.825545953599567,-0.2821160795264922,1.0,4997.7918997220695
0.58,-14.987174428641113,-0.26384833928636314,1.0,4997.6521343924105
0.59,-15.138336749845712,-0.246270307989542,1.0,4997.508480224758
0.6,-15.279428074773161,-0.22942550851986082,1.0,4997.360953327268
0.61,-15.410868497119186,-0.2133517406105441,1.0,4997.209569178522
0.62,-15.533099767749935,-0.19808119973712218,1.0,4997.054342649877
0.63,-15.64658208383624,-0.18364061715361238,1.0,4996.89528791979
0.64,-15.75179095820357,-0.17005141947383412,1.0,4996.732418525964
0.65,-15.849214180097325,-0.15732990613546247,1.0,4996.565747261047
0.66,-15.93934887761146,-0.14548744303480032,1.0,4996.395286235958
0.67,-16.022698691046436,-0.1345306705858496,1.0,4996.221046820283
0.68,-16.09977106546261,-0.12446172443737888,1.0,4996.043039672077
0.6900000000000001,-16.17107466968283,-0.11527846707646332,1.0,4995.8612746968865
0.7000000000000001,-16.237116947982667,-0.10697472855554165,1.0,4995.675761088729
0.71,-16.298401809696852,-0.09954055460200184,1.0,4995.486507315189
0.72,-16.355427460972866,-0.09296246040366683,1.0,4995.293521128595
0.73,-16.408684381924495,-0.08722368840957599,1.0,4995.096809573472
0.74,-16.458653451487088,-0.08230446854204346,1.0,4994.896379008889
0.75,-16.50580422135667,-0.07818227928208922,1.0,4994.69223511219
0.76,-16.550593339514393,-0.074832108164849,1.0,4994.484382919967
0.77,-16.593463122998727,-0.07222671030331845,1.0,4994.272826813161
0.78,-16.634840278796975,-0.07033686364657359,1.0,4994.057570591569
0.79,-16.67513477098534,-0.0691316197712827,1.0,4993.838617429137
0.8,-16.7147388315594,-0.06857854910167034,1.0,4993.615969963372
0.81,-16.75402611176329,-0.06864397955203756,1.0,4993.389630291611
0.8200000000000001,-16.793350970149774,-0.06929322768631542,1.0,4993.159599989653
0.8300000000000001,-16.833047893084416,-0.07049082158997591,1.0,4992.925880175084
0.84,-16.87343104294607,-0.07220071474991152,1.0,4992.688471484929
0.85,-16.914793928872253,-0.07438649033677838,1.0,4992.447374161333
0.86,-16.95740919455103,-0.0770115553809362,1.0,4992.202588036656
0.87,-17.001528517269314,-0.08003932442682124,1.0,4991.95411260426
0.88,-17.047382612189875,-0.08343339234069774,1.0,4991.701946992427
0.89,-17.09518133564272,-0.0871576960327458,1.0,4991.446090061218
0.9,-17.145113881079645,-0.0911766649358673,1.0,4991.186540365219
0.91,-17.19734906125042,-0.0954553601601419,1.0,4990.923296250403
0.92,-17.25203567011264,-0.09995960231318608,1.0,4990.656355805695
0.93,-17.30930291798121,-0.10465608804267267,1.0,4990.385716982186
0.9400000000000001,-17.369260933456328,-0.10951249541773989,1.0,4990.111377518624
0.9500000000000001,-17.43200132573488,-0.11449757832104845,1.0,4989.833335075527
0.96,-17.497597801009267,-0.11958125007270341,1.0,4989.551587153226
0.97,-17.56610682678354,-0.12473465655141126,1.0,4989.2661312147975
0.98,-17.637568338089604,-0.12993023911702883,1.0,4988.976964615285
0.99,-17.712006479759808,-0.13514178767245325,1.0,4988.684084706008
1.0,-17.789430379106,-0.14034448423162496,1.0,4988.387488819659
1.01,-17.86983494356559,-0.1455149373846822,1.0,4988.087174281478
1.02,-17.953201678098548,-0.15063120807114577,1.0,4987.783138450235
1.03,-18.039499517355146,-0.15567282708776892,1.0,4987.475378707051
1.04,-18.128685667878543,-0.16062080476965543,1.0,4987.163892507553
1.05,-18.22070645585743,-0.16545763329167187,1.0,4986.848677385598
1.06,-18.315498176200258,-0.17016728204241832,1.0,4986.52973093465
1.07,-18.412987938961663,-0.17473518652531553,1.0,4986.207050871104
1.08,-18.513094509411975,-0.17914823124099877,1.0,4985.880635026842
1.09,-18.61572913830107,-0.18339472700251291,1.0,4985.550481334329
1.1,-18.720796379126593,-0.18746438312996583,1.0,4985.216587878764
1.11,-18.82819488947218,-0.19134827496460002,1.0,4984.878952875733
1.12,-18.937818213733603,-0.19503880713394445,1.0,4984.537574674934
1.1300000000000001,-19.04955554479833,-0.19852967298997026,1.0,4984.192451812327
1.1400000000000001,-19.163292462485128,-0.2018158106312331,1.0,4983.843582954258
1.1500000000000001,-19.278911646786298,-0.20489335590803823,1.0,4983.490966938436
1.16,-19.39629356418378,-0.20775959279681652,1.0,4983.13460277766
1.17,-19.51531712553128,-0.21041290151637723,1.0,4982.774489630014
1.18,-19.63586031420855,-0.21285270474459186,1.0,4982.4106268547475
1.19,-19.75780078345895,-0.21507941227948854,1.0,4982.043013948947
1.2,-19.88101642201898,-0.21709436447383812,1.0,4981.671650595963
1.21,-20.005385887336594,-0.21889977475713177,1.0,4981.2965366356075
