time_s,gyro_pitch_rad_s
0.0,0.05185406460138893
0.01,0.07130940423677914
0.02,-0.008874040248938772
0.03,-0.010070594184029343
0.04,-0.03167077058773436
0.05,-0.05237655928020751
0.06,-0.05555135888586518
0.07,-0.0843620365077649
0.08,-0.1200739195525218
0.09,-0.13591721608905066
0.1,-0.17429281883150932
0.11,-0.2053630993534556
0.12,-0.2324184263353761
0.13,-0.2914704657889453
0.14,-0.33079371248265993
0.15,-0.3644535906982979
0.16,-0.4187373076213476
0.17,-0.4515866589147983
0.18,-0.5053212521644004
0.19,-0.5474384617587639
0.2,-0.5514547533461048
0.21,-0.5970877166272592
0.22,-0.6190070482298441
0.23,-0.6551103691596936
0.24,-0.6640192926439386
0.25,-0.6719336149965635
0.26,-0.6959860793991098
0.27,-0.6893074396298686
0.28,-0.7050334375242696
0.29,-0.7054965632952899
0.3,-0.7099782787135063
0.31,-0.6846095466809903
0.32,-0.7001043793993801
0.33,-0.7051888922001328
0.34,-0.6789775054247704
0.35,-0.6900958987193149
0.36,-0.6647216272497324
0.37,-0.6737128510914238
0.38,-0.6532310534485395
0.39,-0.6224835980447585
0.4,-0.600381595726052
0.41,-0.5883164847796445
0.42,-0.5725365417171906
0.43,-0.5549599860615293
0.44,-0.5466515574236873
0.45,-0.5184562818899776
0.46,-0.4948512356217165
0.47,-0.45837299740510823
0.48,-0.4440318156718695
0.49,-0.4435535656849958
0.5,-0.4011705733979519
0.51,-0.3868797943658274
0.52,-0.36863565816544397
0.53,-0.3348918950733366
0.54,-0.31022463167767544
0.55,-0.2912046250615153
0.56,-0.2894163616770742
0.5700000000000001,-0.26520820328500433
0.58,-0.24053570497232749
0.59,-0.2165148567183184
0.6,-0.2142172508983137
0.61,-0.19520833037718227
0.62,-0.1891445494771824
0.63,-0.175602683394419
0.64,-0.14192616124989213
0.65,-0.12376750584975417
0.66,-0.12620754425060365
0.67,-0.10449534160692936
0.68,-0.10084536418690244
0.6900000000000001,-0.10172966462251454
0.7000000000000001,-0.08336077250045747
0.71,-0.0641601889373421
0.72,-0.07332072079476631
0.73,-0.05157725185143583
0.74,-0.08850191958294085
0.75,-0.04996325423833696
0.76,-0.05396163748246728
0.77,-0.055216783807977066
0.78,-0.04941925588121848
0.79,-0.06900730891729162
0.8,-0.05077526798004542
0.81,-0.04507285383692004
0.8200000000000001,-0.03451428723890024
0.8300000000000001,-0.05567352377271237
0.84,-0.06028565077884336
0.85,-0.059404060772623654
0.86,-0.04785753420391545
0.87,-0.056751813330224346
0.88,-0.06873099437836809
0.89,-0.06202502170161224
0.9,-0.0702058894423869
0.91,-0.065768910254813
0.92,-0.08698013325195952
0.93,-0.08793270950865027
0.94,-0.09343357694906138
0.95,-0.10913272780236959
0.96,-0.09662004730205763
0.97,-0.1021241038296123
0.98,-0.10987910455060419
0.99,-0.11748765900620466
1.0,-0.13449819165212906
1.01,-0.1297213906123358
1.02,-0.13405835323641338
1.03,-0.14369559977998508
1.04,-0.1422336618863155
1.05,-0.1414171247235264
1.06,-0.131305423030313
1.07,-0.15298940839699712
1.08,-0.1565727273337711
1.09,-0.16413918616017456
1.1,-0.18665209528295623
1.11,-0.17161341371909217
1.12,-0.17443650503453415
1.13,-0.15389725186511735
1.14,-0.18373942027904433
1.15,-0.18187788248470207
1.16,-0.18810671049386893
1.17,-0.20209968189257255
1.18,-0.1814244765994416
1.19,-0.18756008195262078
1.2,-0.18918404500340763
1.21,-0.2079936493050791
1.22,-0.18647072843416013
1.23,-0.21591335043676893
1.24,-0.19722419166640762
1.25,-0.18219300650159043
1.26,-0.2148203082620874
1.27,-0.2112141160721039
1.28,-0.2050163281346695
1.29,-0.21134192129612192
1.3,-0.22194821159231692
1.31,-0.20573822537579123
1.32,-0.21688506614846476
1.33,-0.201228410813883
1.34,-0.21473340967683244
1.35,-0.18949568734565603
1.36,-0.21217303396336126
1.37,-0.20680479135905447
1.38,-0.19459947115038861
1.39,-0.21410908109161925
1.4,-0.1985154099694279
1.41,-0.18664026007709414
1.42,-0.2146484854466779
1.43,-0.19553756916870507
1.44,-0.19355142127172978
1.45,-0.1870620182371021
1.46,-0.20595072786812083
1.47,-0.20546478757290726
1.48,-0.18570459812836643
1.49,-0.18660921491211555
1.5,-0.18572658668604006
1.51,-0.18342271810561486
1.52,-0.19235185659890872
1.53,-0.18190735864814378
1.54,-0.1799961423596608
1.55,-0.1887904983795263
1.56,-0.16173661306996212
1.57,-0.17443442217502483
1.58,-0.18989861403011218
1.59,-0.1702703765301054
1.6,-0.18547330095834272
1.61,-0.1667888468131529
1.62,-0.16205165523248527
1.63,-0.180868816485029
1.64,-0.16210052398159408
1.65,-0.16672782436391462
1.66,-0.16180629543539532
1.67,-0.15028072784502625
1.68,-0.17097511462716
1.69,-0.17538205246173802
1.7,-0.17611400207805986
1.71,-0.17480144048570037
1.72,-0.16688853982296495
1.73,-0.16222908879063636
1.74,-0.16244469988007434
1.75,-0.15655753264233147
1.76,-0.16436255165324395
1.77,-0.14966443372670585
